# Базовый словарь ёфикации
# Формат: слово_с_е -> слово_с_ё

# Частые слова
еще|ещё
ее|её
телка|тёлка
осел|осёл
произнес|произнёс
медведь|медведь
привет|привет
дела|дела
удел|удел
предел|предел
умел|умел
смел|смел
щелка|щёлка
мелка|мёлка
желтка|жёлтка

# Глаголы прошедшего времени
сел|сёл
шел|шёл
вел|вёл
пел|пёл
жел|жёл
мел|мёл
тел|тёл
шел|шёл
вел|вёл

# Прилагательные женского рода
белая|белая
зеленая|зелёная
желтая|жёлтая
белая|белая
зеленая|зелёная
желтая|жёлтая

# Существительные
дело|дело
место|место
время|время
человек|человек
глаз|глаз
рука|рука
нога|нога
голова|голова
сердце|сердце
душа|душа
